あの,um...
いま,now
えいご,English
がくせい,student
〜ご,language
こうこう,high school
ごご,P.M.
ごぜん,A.M.
〜さい,years old
〜さん,Mr./Ms....
〜じ,o'clock
〜じん,people
せんせい,teacher; Professor ...
せんもん,major
そうです,That's right.
だいがく,college; university
でんわ,telephone
ともだち,friend
なまえ,name
なん／なに,what
にほん,Japan
〜ねんせい,...year student
はい,yes
はん,half
ばんごう,number
りゅうがくせい,international student
わたし,I
アメリカ,U.S.A.
イギリス,Britain
オーストラリア,Australia
かんこく,Korea
スウェーデン,Sweden
ちゅうごく,China
かがく,science
アジアけんきゅう,Asian studies
こくさいかんけい,international relations
コンピューター,computer
じんるいがく,anthropology
せいじ,politics
ビジネス,business
ぶんがく,literature
れきし,history
しごと,job; work; occupation
いしゃ,doctor
かいしゃいん,office worker
こうこうせい,high school student
しゅふ,housewife
だいがくいんせい,graduate student
だいがくせい,college student
べんごし,lawyer
おかあさん,mother
おとうさん,father
おねえさん,older sister
おにいさん,older brother
いもうと,younger sister
おとうと,younger brother
これ,this one
それ,that one
あれ,that one (over there)
どれ,which one
この,this ...
その,that ...
あの,that ... (over there)
どの,which ...
あそこ,over there
どこ,where
だれ,who
おいしい,delicious
さかな,fish
とんかつ,pork cutlet
にく,meat
メニュー,menu
やさい,vegetable
えんぴつ,pencil
かさ,umbrella
かばん,bag
くつ,shoes
さいふ,wallet
ジーンズ,jeans
じしょ,dictionary
じてんしゃ,bicycle
しんぶん,newspaper
テープ,tape
とけい,watch; clock
トレーナー,sweat shirt
ノート,notebook
ペン,pen
ぼうし,hat; cap
ほん,book
おてあらい,restroom
きっさてん,cafe
ぎんこう,bank
としょかん,library
ゆうびんきょく,post office
けいざい,economics
いくら,how much
〜えん,...yen
たかい,expensive
いらっしゃいませ,Welcome (to our store)
（〜を）おねがいします,"..., please."
（〜を）ください,Please give me...
じゃあ,"then...; if that is the case,..."
（〜を）どうぞ,Here it is.
どうも,Thank you.
えいが,movie
おんがく,music
ざっし,magazine
スポーツ,sports
デート,"date (romantic, not calendar)"
テニス,tennis
テレビ,TV
ビデオ,video tape; VCR
あさごはん,breakfast
おさけ,sake; alcohol
おちゃ,green tea
コーヒー,coffee
ばんごはん,dinner
ハンバーガー,hamburger
ひるごはん,lunch
みず,water
いえ,home; house
うち,home; house; my place
LL（エルエル）,language lab
がっこう,school
あさ,morning
あした,tomorrow
いつ,when
きょう,today
〜ごろ,at about
こんばん,tonight
しゅうまつ,weekend
どようび,Saturday
にちようび,Sunday
まいにち,every day
まいばん,every night
いく,to go
かえる,to go back; to return
きく,to listen; to hear
のむ,to drink
はなす,to speak; to talk
よむ,to read
おきる,to get up
たべる,to eat
ねる,to sleep; to go to sleep
みる,to see; to look at; to watch
くる,to come
する,to do
べんきょうする,to study
いい,good
はやい,early
あまり+ negative,not much
ぜんぜん + negative,not at all
たいてい,usually
ちょっと,a little
ときどき,sometimes
よく,often; much
そうですね,That's right.; Let me see.
でも,but
どうですか,How about...?; How is...?
アルバイト,part-time job
かいもの,shopping
クラス,class
あなた,you
いぬ,dog
おみやげ,souvenir
こども,child
ごはん,rice; meal
しゃしん,picture; photograph
つくえ,desk
てがみ,letter
ねこ,cat
パン,bread
ひと,person
おてら,temple
こうえん,park
